Row,Column,State,Abbreviation
0,0.5,Alaska,AK
6,7.5,Alabama,AL
5,6,Arkansas,AR
5,3,Arizona,AZ
5,2,California,CA
4,3.5,Colorado,CO
3,11,Connecticut,CT
5,12,District of Columbia,DC
4,9.5,Delaware,DE
8,8.5,Florida,FL
7,8,Georgia,GA
8,0.5,Hawaii,HI
3,5,Iowa,IA
3,2,Idaho,ID
3,6,Illinois,IL
3,7,Indiana,IN
5,5,Kansas,KS
4,6.5,Kentucky,KY
6,5.5,Louisiana,LA
2,10.5,Massachusetts,MA
4,8.5,Maryland,MD
0,11.5,Maine,ME
2,7.5,Michigan,MI
2,4.5,Minnesota,MN
4,5.5,Missouri,MO
6,6.5,Mississippi,MS
2,2.5,Montana,MT
5,9,North Carolina,NC
2,3.5,North Dakota,ND
4,4.5,Nebraska,NE
1,11,New Hampshire,NH
3,10,New Jersey,NJ
6,3.5,New Mexico,NM
4,2.5,Nevada,NV
2,9.5,New York,NY
3,8,Ohio,OH
6,4.5,Oklahoma,OK
4,1.5,Oregon,OR
3,9,Pennsylvania,PA
2,11.5,Rhode Island,RI
6,8.5,South Carolina,SC
3,4,South Dakota,SD
5,7,Tennessee,TN
7,4,Texas,TX
5,4,Utah,UT
5,8,Virginia,VA
1,10,Vermont,VT
2,1.5,Washington,WA
2,5.5,Wisconsin,WI
4,7.5,West Virginia,WV
3,3,Wyoming,WY
9,2,Puerto Rico,PR
9,3,Guam,GU
9,4,American Samoa,AS
9,5,Northern Mariana Islands,MP
9,6,U.S. Virgin Islands,VI
